speciesAbbr	speciesSCI	speciesFI	speciesSV	speciesEN	visibility
CYGOLO	Cygnus olor	Kyhmyjoutsen	Knölsvan	Mute Swan	1
CYGCYG	Cygnus cygnus	Laulujoutsen	Sångsvan	Whooper Swan	1
ANSFAB	Anser fabalis	Metsähanhi	Sädgås	Bean Goose	1
ANSERY	Anser erythropus	Kiljuhanhi	Fjällgås	Lesser White-fronted Goose	0
ANSANS	Anser anser	Merihanhi	Grågås	Greylag Goose	1
ANSCAE	Anser caerulescens	Lumihanhi	Snögås	Snow Goose	1
BRACAN	Branta canadensis	Kanadanhanhi	Kanadagås	Canada Goose	1
BRALEU	Branta leucopsis	Valkoposkihanhi	Vitkindad gås	Barnacle Goose	1
TADTAD	Tadorna tadorna	Ristisorsa	Gravand	Shelduck	1
ANAPEN	Anas penelope	Haapana	Bläsand	Wigeon	1
ANASTR	Anas strepera	Harmaasorsa	Snatterand	Gadwall	1
ANACRE	Anas crecca	Tavi	Kricka	Teal	1
ANAPLA	Anas platyrhynchos	Sinisorsa	Gräsand	Mallard	1
ANAACU	Anas acuta	Jouhisorsa	Stjärtand	Pintail	1
ANAQUE	Anas querquedula	Heinätavi	Årta	Garganey	1
ANACLY	Anas clypeata	Lapasorsa	Skedand	Shoveler	1
AYTFER	Aythya ferina	Punasotka	Brunand	Pochard	1
AYTFUL	Aythya fuligula	Tukkasotka	Vigg	Tufted Duck	1
AYTMAR	Aythya marila	Lapasotka	Bergand	Scaup	1
SOMMOL	Somateria mollissima	Haahka	Ejder	Eider	1
CLAHYE	Clangula hyemalis	Alli	Alfågel	Long-tailed Duck	1
MELNIG	Melanitta nigra	Mustalintu	Sjöorre	Common Scoter	1
MELFUS	Melanitta fusca	Pilkkasiipi	Svärta	Velvet Scoter	1
BUCCLA	Bucephala clangula	Telkkä	Knipa	Goldeneye	1
MERALB	Mergellus albellus	Uivelo	Salskrake	Smew	1
MERSER	Mergus serrator	Tukkakoskelo	Småskrake	Red-breasted Merganser	1
MERMER	Mergus merganser	Isokoskelo	Storskrake	Goosander	1
BONBON	Tetrastes bonasia	Pyy	Järpe	Hazel Grouse	1
LAGLAG	Lagopus lagopus	Riekko	Dalripa	Willow Grouse	1
LAGMUT	Lagopus muta	Kiiruna	Fjällripa	Ptarmigan	1
TETRIX	Lyrurus tetrix	Teeri	Orre	Black Grouse	1
TETURO	Tetrao urogallus	Metso	Tjäder	Capercaillie	1
PERPER	Perdix perdix	Peltopyy	Rapphöna	Partridge	1
COTCOT	Coturnix coturnix	Viiriäinen	Vaktel	Quail	1
PHACOL	Phasianus colchicus	Fasaani	Fasan	Pheasant	1
GAVSTE	Gavia stellata	Kaakkuri	Smålom	Red-throated Diver	1
GAVARC	Gavia arctica	Kuikka	Storlom	Black-throated Diver	1
TACRUF	Tachybaptus ruficollis	Pikku-uikku	Smådopping	Little Grebe	1
PODCRI	Podiceps cristatus	Silkkiuikku	Skäggdopping	Great Crested Grebe	1
PODGRI	Podiceps grisegena	Härkälintu	Gråhakedopping	Red-necked Grebe	1
PODAUR	Podiceps auritus	Mustakurkku-uikku	Svarthakedopping	Slavonian Grebe	1
BOTSTE	Botaurus stellaris	Kaulushaikara	Rördrom	Bittern	1
ARDCIN	Ardea cinerea	Harmaahaikara	Häger	Grey Heron	1
PERAPI	Pernis apivorus	Mehiläishaukka	Bivråk	Honey Buzzard	1
MILMIG	Milvus migrans	Haarahaukka	Brunglada	Black Kite	0
HALALB	Haliaeetus albicilla	Merikotka	Havsörn	White-tailed Eagle	0
CIRAER	Circus aeruginosus	Ruskosuohaukka	Brun kärrhök	Marsh Harrier	1
CIRCYA	Circus cyaneus	Sinisuohaukka	Blå kärrhök	Hen Harrier	1
CIRPYG	Circus pygargus	Niittysuohaukka	Ängshök	Montagu's Harrier	0
ACCGEN	Accipiter gentilis	Kanahaukka	Duvhök	Goshawk	1
ACCNIS	Accipiter nisus	Varpushaukka	Sparvhök	Sparrowhawk	1
BUTBUT	Buteo buteo	Hiirihaukka	Ormvråk	Buzzard	1
BUTLAG	Buteo lagopus	Piekana	Fjällvråk	Rough-legged Buzzard	1
AQUCLA	Aquila clanga	Kiljukotka	Större skrikörn	Spotted Eagle	0
AQUCHR	Aquila chrysaetos	Maakotka	Kungsörn	Golden Eagle	0
PANHAL	Pandion haliaetus	Sääksi	Fiskgjuse	Osprey	1
FALTIN	Falco tinnunculus	Tuulihaukka	Tornfalk	Kestrel	1
FALCOL	Falco columbarius	Ampuhaukka	Stenfalk	Merlin	1
FALSUB	Falco subbuteo	Nuolihaukka	Lärkfalk	Hobby	1
FALRUS	Falco rusticolus	Tunturihaukka	Jaktfalk	Gyrfalcon	0
FALPER	Falco peregrinus	Muuttohaukka	Pilgrimsfalk	Peregrine	0
RALAQU	Rallus aquaticus	Luhtakana	Vattenrall	Water Rail	1
PORPOR	Porzana porzana	Luhtahuitti	Småfläckig sumphöna	Spotted Crake	1
PORPAR	Porzana parva	Pikkuhuitti	Mindre sumphöna	Little Crake	1
CRECRE	Crex crex	Ruisrääkkä	Kornknarr	Corncrake	1
GALCHL	Gallinula chloropus	Liejukana	Rörhöna	Moorhen	1
FULATR	Fulica atra	Nokikana	Sothöna	Coot	1
GRUGRU	Grus grus	Kurki	Trana	Crane	1
HAEOST	Haematopus ostralegus	Meriharakka	Strandskata	Oystercatcher	1
CHADUB	Charadrius dubius	Pikkutylli	Mindre strandpipare	Little Ringed Plover	1
CHAHIA	Charadrius hiaticula	Tylli	Större strandpipare	Ringed Plover	1
CHAMOR	Charadrius morinellus	Keräkurmitsa	Fjällpipare	Dotterel	1
PLUAPR	Pluvialis apricaria	Kapustarinta	Ljungpipare	Golden Plover	1
VANVAN	Vanellus vanellus	Töyhtöhyyppä	Tofsvipa	Lapwing	1
CALUTA	Calidris minuta	Pikkusirri	Småsnäppa	Little Stint	1
CALTEM	Calidris temminckii	Lapinsirri	Mosnäppa	Temminck's Stint	1
CALMAR	Calidris maritima	Merisirri	Skärsnäppa	Purple Sandpiper	1
CALALP	Calidris alpina	Suosirri	Kärrsnäppa	Dunlin	1
LIMFAL	Limicola falcinellus	Jänkäsirriäinen	Myrsnäppa	Broad-billed Sandpiper	1
PHIPUG	Philomachus pugnax	Suokukko	Brushane	Ruff	1
LYMMIN	Lymnocryptes minimus	Jänkäkurppa	Dvärgbeckasin	Jack Snipe	1
GALGAL	Gallinago gallinago	Taivaanvuohi	Enkelbeckasin	Snipe	1
GALMED	Gallinago media	Heinäkurppa	Dubbelbeckasin	Great Snipe	1
SCORUS	Scolopax rusticola	Lehtokurppa	Morkulla	Woodcock	1
LIMLIM	Limosa limosa	Mustapyrstökuiri	Rödspov	Black-tailed Godwit	1
LIMLAP	Limosa lapponica	Punakuiri	Myrspov	Bar-tailed Godwit	1
NUMPHA	Numenius phaeopus	Pikkukuovi	Småspov	Whimbrel	1
NUMARQ	Numenius arquata	Kuovi	Storspov	Curlew	1
TRIERY	Tringa erythropus	Mustaviklo	Svartsnäppa	Spotted Redshank	1
TRITOT	Tringa totanus	Punajalkaviklo	Rödbena	Redshank	1
TRISTA	Tringa stagnatilis	Lampiviklo	Dammsnäppa	Marsh Sandpiper	1
TRINEB	Tringa nebularia	Valkoviklo	Gluttsnäppa	Greenshank	1
TRIOCH	Tringa ochropus	Metsäviklo	Skogssnäppa	Green Sandpiper	1
TRIGLA	Tringa glareola	Liro	Grönbena	Wood Sandpiper	1
XENCIN	Xenus cinereus	Rantakurvi	Tereksnäppa	Terek Sandpiper	0
ACTHYP	Actitis hypoleucos	Rantasipi	Drillsnäppa	Common Sandpiper	1
AREINT	Arenaria interpres	Karikukko	Roskarl	Turnstone	1
PHALOB	Phalaropus lobatus	Vesipääsky	Smalnäbbad simsnäppa	Red-necked Phalarope	1
